"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2020095897","N","N","N","Y","N","Y","2","Y","Y","99999","N","","","","","","","","N","1"
"2020040653","Y","U","U","N","","N","0","Y","Y","00105","N","","","","","","","","N","1"
"2020078791","N","U","U","Y","U","Y","1","Y","U","00600","N","","","","","","","","N","1"
"2020055273","N","Y","Y","N","N","N","0","Y","N","99999","N","","","","","","","","N","2"
"2020057298","U","U","Y","U","N","N","0","U","U","04900","N","","","","","","","","N","1"
"2020097926","Y","N","U","U","U","N","2","Y","U","00750","N","","","","","","","","N","2"
"2020089616","Y","Y","U","Y","N","N","0","Y","Y","01640","N","","","","","","","","N","1"
"2020094951","N","Y","N","N","N","N","0","Y","Y","00125","U","","","","","","","","N","1"
"2020086663","N","N","Y","N","N","N","0","Y","N","01584","N","","","","","","","","N","1"
"2020084818","Y","Y","Y","Y","Y","Y","1","Y","Y","01330","N","","","","","","","","N","2"
"2020084102","N","Y","Y","U","U","Y","3","Y","N","01340","N","","","","","","","","N","2"
"2020049061","Y","N","Y","Y","Y","Y","1","Y","Y","00883","N","","","","","","","","N","1"
"2020048740","Y","Y","Y","Y","N","N","0","N","N","01600","N","","","","","","","","N","2"
"2020037697","Y","U","U","Y","U","U","9","Y","U","01746","N","","","","","","","","N","1"
"2020036558","N","Y","U","Y","U","Y","1","Y","U","00650","N","","","","","","","","N","1"
"2020060598","Y","Y","N","Y","N","N","0","Y","N","01700","N","","","","","","","","N","2"
"2020045086","","","","","","","","","","","","","","","","","","","","2"
"2020082962","","","","","","","","","","","","","","","","","","","","1"
"2020026585","N","Y","Y","Y","Y","Y","1","Y","Y","00250","N","","","","","","","","N","1"
"2020066583","N","Y","Y","N","N","Y","1","Y","N","00600","N","","","","","","","","N","1"
"2020066703","N","N","U","Y","U","Y","1","U","U","00750","N","","","","","","","","N","1"
"2020032830","Y","Y","U","Y","Y","Y","1","Y","Y","01700","N","","","","","","","","N","2"
"2020066071","N","N","U","N","U","Y","1","Y","Y","99999","N","","","","","","","","N","2"
"2020067125","N","Y","Y","N","N","N","0","Y","N","00750","N","","","","","","","","N","1"
"2020067125","N","Y","N","N","N","N","0","Y","N","00636","N","","","","","","","","N","2"
"2020044608","N","U","Y","Y","U","Y","1","U","U","01000","N","","","","","","","","N","1"
"2020062337","Y","N","N","U","Y","Y","3","N","N","01450","N","","","","","","","","N","1"
"2020063294","","","","","","","","","","","","","","","","","","","","1"
"2020022587","N","Y","N","Y","Y","Y","1","Y","Y","00400","N","","","","","","","","N","1"
"2020050721","Y","Y","U","U","N","N","0","Y","N","15000","Y","U","U","Y","Y","3","Y","Y","N","1"
"2020098952","U","U","U","U","U","U","9","Y","Y","00750","N","","","","","","","","N","1"
"2020035557","Y","Y","Y","N","N","N","0","Y","Y","01690","N","","","","","","","","N","1"
"2020061600","Y","Y","U","Y","N","N","0","Y","Y","00600","N","","","","","","","","N","2"
"2020087187","N","N","U","U","U","U","9","Y","N","10000","N","","","","","","","","N","1"
"2020056802","N","N","U","N","U","Y","1","Y","N","00012","N","","","","","","","","N","1"
"2020091357","","","","","","","","","","","","","","","","","","","","2"
"2020091357","","","","","","","","","","","","","","","","","","","","3"
"2020069489","N","Y","U","Y","Y","Y","1","Y","N","00250","N","","","","","","","","N","2"
"2020033300","N","N","Y","Y","N","N","0","Y","N","01680","N","","","","","","","","N","2"
"2020072583","N","Y","U","U","N","N","0","Y","Y","00599","N","","","","","","","","N","1"
"2020037649","N","N","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2020052119","Y","Y","N","N","Y","N","1","Y","Y","01000","N","","","","","","","","N","2"
"2020075283","Y","Y","N","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","1"
"2020100030","Y","N","Y","Y","Y","Y","1","Y","Y","01352","N","","","","","","","","N","1"
"2020075742","N","Y","Y","Y","N","Y","2","Y","Y","00125","Y","Y","Y","N","Y","2","Y","Y","N","1"
"2020095072","N","U","N","N","Y","N","1","U","U","00125","N","","","","","","","","N","1"
"2020031163","N","N","Y","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2020065682","Y","U","Y","U","U","Y","1","Y","U","01584","N","","","","","","","","N","1"
"2020099039","Y","Y","N","Y","N","N","0","Y","Y","01900","N","","","","","","","","N","1"
"2020081951","Y","Y","Y","Y","Y","Y","2","Y","Y","01450","N","","","","","","","","N","1"
"2020019447","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","1"
"2020039024","N","Y","N","Y","U","Y","1","Y","Y","00847","N","","","","","","","","N","1"
"2020069029","","","","","","","","","","","","","","","","","","","","2"
"2020036571","","","","","","","","","","","","","","","","","","","","2"
"2020086452","Y","N","Y","Y","Y","Y","3","Y","Y","00883","N","","","","","","","","N","1"
"2020070300","N","Y","Y","Y","N","Y","1","Y","Y","01200","N","","","","","","","","N","1"
"2020037040","","","","","","","","","","","","","","","","","","","","1"
"2020074604","N","U","U","U","N","N","0","U","U","99999","N","","","","","","","","N","1"
"2020059152","","","","","","","","","","","","","","","","","","","","2"
"2020070479","","","","","","","","","","","","","","","","","","","","1"
"2020060647","N","Y","Y","U","U","U","9","Y","N","12000","N","","","","","","","","N","1"
"2020020320","N","N","N","Y","Y","Y","3","Y","Y","01200","N","","","","","","","","N","1"
"2020054742","Y","N","U","Y","Y","Y","3","Y","N","01100","N","","","","","","","","N","2"
"2020073354","N","Y","N","Y","N","Y","1","Y","Y","00250","N","","","","","","","","N","1"
"2020082934","Y","N","U","Y","U","Y","1","Y","Y","00650","N","","","","","","","","N","2"
"2020019958","N","U","U","Y","U","Y","1","Y","N","00250","N","","","","","","","","N","1"
"2020036245","","","","","","","","","","","","","","","","","","","","2"
"2020044801","N","U","U","N","U","Y","3","N","N","99999","N","","","","","","","","N","2"
"2020081074","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","1"
"2020079573","N","U","U","U","U","U","9","U","U","00495","N","","","","","","","","N","1"
"2020022846","Y","Y","Y","Y","Y","Y","3","Y","Y","01449","N","","","","","","","","N","2"
"2020059243","Y","N","Y","N","N","N","0","Y","Y","00800","N","","","","","","","","N","1"
"2020036953","N","N","U","Y","Y","N","3","Y","Y","00750","N","","","","","","","","N","1"
"2020098285","","","","","","","","","","","","","","","","","","","","2"
