"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2020034618","","0","TN","U811111","2099","7","1"
"2020064822","","0","PA","KYC1415","2021","1","2"
"2020064822","","0","PA","HKD6798","2021","1","3"
"2020064151","","0","","","","1","2"
"2020049202","","0","ME","411725Z","2041","7","2"
"2020047062","","0","IN","P725802","2019","6","1"
"2020047471","","0","PA","XKK0626","2020","8","2"
"2020010496","","0","ME","2938633","2020","7","1"
"2020099788","","0","TX","162C674","2021","7","1"
"2020062212","","0","MS","087064A","2020","7","1"
"2020073351","","0","CA","4SS6898","2020","7","1"
"2020091254","","0","PA","PT230C7","2020","7","2"
"2020023025","","0","ME","99999","2020","7","1"
"2020082758","","0","PA","PT2124R","2020","7","1"
"2020050169","","0","","","","3","2"
"2020085849","","0","","","","7","1"
"2020085849","","0","","","","7","2"
"2020007956","","0","OH","TRE8577","2020","7","2"
"2020102233","","0","PA","XLR3254","2020","7","2"
"2020027446","","0","TN","U277694","2020","6","1"
"2020028331","","0","TN","U593265","9999","7","1"
"2020063652","","0","PA","XJB8696","2025","6","1"
"2020037429","","0","ME","B657742","2020","7","2"
"2020036949","","0","PA","XW99458","2021","6","1"
"2020016421","","0","OK","AC8128","2020","7","2"
"2020047464","","0","PA","PT838B9","2020","3","2"
"2020027860","","0","PA","XLS3949","2020","7","2"
"2020064592","","0","ME","2912562","2029","7","2"
"2020002231","","0","PA","XJN1794","2002","7","3"
"2020029146","","0","VA","535550TL","2020","7","3"
"2020020199","","0","MO","O3B646","2019","7","1"
"2020043432","","0","PA","PT6696P","2020","7","1"
"2020025653","","0","PA","PT081G1","2099","7","1"
"2020113051","","0","PA","PT494G3","2021","7","2"
"2020113995","","0","NE","20627W","2099","7","1"
"2020098325","","0","PA","XLY7822","2021","3","3"
"2020096713","","0","ME","238948B","2023","7","1"
"2020046051","","0","IN","P140102","2020","7","1"
"2020019955","","0","","","","8","4"
"2020083234","","0","ME","226831C","2022","7","1"
"2020067266","","0","IN","P92357","2009","7","1"
"2020067266","","0","VA","858446TL","2020","8","2"
"2020099954","","0","PA","XLW8443","2020","3","1"
"2020045040","","0","IN","P642643","2021","7","2"
"2020063327","","0","PA","PT2631H","","7","1"
"2020093143","","0","OH","TQR4287","2021","7","2"
"2020041736","","0","PA","PT376A7","2020","7","1"
"2020018569","","0","ME","20-2697D","2020","7","2"
"2020059942","","0","PA","XKW8619","","3","1"
"2020058848","","0","ZZ","999999999999","2020","7","1"
"2020093578","","0","","","","3","1"
"2020094243","","0","PA","XGS8000","2021","3","2"
"2020007030","","0","ME","211925C","2099","7","1"
"2020041118","","0","WI","687224","2021","6","2"
"2020031739","","0","PA","ZLW9980","2020","7","1"
"2020092050","","0","PA","XHM3605","2016","3","2"
"2020093456","","0","PA","PT7397E","2099","7","2"
"2020045205","","0","WI","709101","2020","7","2"
"2020093031","","0","ZF","WL2297","2020","7","1"
"2020076929","","0","MD","115138X","2021","6","1"
"2020094374","","0","PA","PT-1702R","2020","7","1"
"2020040016","","0","","","","8","2"
"2020069081","","0","ME","3619026","2036","7","1"
"2020103376","","0","TN","U710938","2020","7","3"
"2020093865","","0","TN","U308496","2020","7","1"
"2020081046","","0","IN","P158997","2021","7","1"
"2020064387","","0","IN","T840016","2021","7","1"
"2020039719","","0","ME","2498591","2020","7","2"
"2020042349","","0","MO","6549PH","2016","7","2"
"2020108336","","0","NJ","TPM44Y","2017","7","1"
"2020108336","","0","IL","T497750","2020","7","2"
"2020072529","","0","PA","XJN-4051","2018","3","1"
"2020080260","","0","ME","234978E","2020","7","1"
"2020080260","","0","IN","P400224","2020","7","2"
"2020019503","","0","PA","PT1422R","2020","7","3"
"2020067282","","0","ME","B992632","2021","7","1"
"2020044641","","0","PA","PT019F7","2020","7","2"
"2020108555","","0","FL","5541CU","9999","7","2"
"2020070549","","0","PA","XGT1301","2021","3","2"
"2020061915","","0","IL","703386ST","2020","7","1"
"2020020070","","0","IN","P624602","2020","7","2"
"2020064189","","0","IL","T527538","2021","7","3"
"2020040941","","0","PA","PT1966W","2020","6","1"
"2020066439","","0","IN","P799697","2020","6","2"
"2020049197","","0","ME","2565504","2020","7","1"
"2020112644","","0","ME","2453982","2021","7","1"
"2020040505","","0","PA","XN86157","2021","3","2"
"2020076753","","0","PA","PT258113","2021","7","2"
"2020058729","","0","TX","134C870","2021","6","1"
"2020013933","","0","PA","","","1","2"
"2020017459","","0","PA","XDW4914","2023","3","1"
"2020099907","","0","PA","XGE1165","2020","6","2"
"2020096245","","0","NJ","TTV21G","2019","6","2"
"2020044865","","0","YC","U970617","2020","7","1"
"2020066811","","0","ME","2378885","2023","7","2"
