"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","TYPE_OF_CARRIER","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2020030823","05","1","301 OAK STREET","","PITTSTON","PA","18640","R C MOORE","5708013056","080000","","","","","N","","","","","","N","","0412","","","","","","2","00010154","08"
"2020037137","02","3","1790 RT 588","","FOMBELL","PA","16123","LAURIE TRANSIT","7244526260","073280","","","","","N","","","","","","N","","","","","","","","2","00121658","09"
"2020053129","02","1","606 MUNICIPAL DR","","NAZARETH","PA","18064","BRIDAN ENTERPRISES INC","4842981021","033000","","","","","N","","","","","","N","","","","","","","","2","01030644","03"
"2020113988","05","3","5001 US HWY 30 W","","FORT WAYNE","IN","46802","CRST LINCOLN SALES INC","2679749071","080000","","","","","N","","","","","","N","","","","","","","","2","00098137","08"
"2020085825","04","4","10314 SOMERSET PIKE","","SOMERSET","PA","15501","BARRON TRUCKING LLC","8144433795","073280","","","","","N","","","","","","N","","A99207-F4","","","","","","2","00084909","04"
"2021000412","03","1","300 MISSION RIDGE DRIVE","","GOODLETTSVILLE","TN","37072","DG LOGISTICS LLC","6158554000","080000","","","","","N","","","","","","N","","","","","","","","1","00852587","08"
"2020011385","03","1","10450 ST RT 47","","SIDNEY","OH","45365","CONTINENTAL","8004972100","080000","","","","","N","","","","","","N","","","","","","","","3","00251206","08"
"2020015691","03","1","2105 E LIZARD CREEK RD","","LEHIGHTON","PA","18235","AJJT ENTERPRISES LLC","4846294307","080000","","","","","N","","","","","","N","","","","","","","","1","02145391","08"
"2020072502","07","3","PO BOX 535","","WEST BURLINGTON","IA","52655","STRAIGHTLINE TRANSPORTATION","3098013304","","","","","","N","","","","","","N","","","","","","","","1","00988981","08"
"2020010551","02","8","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY COUN","4124422000","","","","","","N","","","","","","N","","9999999999","","","","","","2","","13"
"2020069211","05","2","102 PICKERING WAY","","EXTON","PA","19341","QC DRY BULK LLC","8135697382","080000","","","","","N","","","","","","N","","0","","","","","","2","02064133","06"
"2020098573","02","0","10990 ROE AVE","","OVERLAND PARK","KS","66211","YRC FREIGHT INC","8007665673","080000","","","","","N","","","","","","N","","","","","","","","2","00071821","07"
"2020099866","03","2","1713 N. MAIN RD.","","VINELAND","NJ","08360","S. CORALUZZO","6093522734","080000","3","","","","Y","1","","","","","","","","","","","","","2","00156123","08"
"2020111335","05","1","726 GREEN BLVD","","AURORA","IN","47001","AIR WOLF INC","8129260680","","","","","","N","","","","","","N","","","","","","","","1","02297576","08"
"2020080825","03","4","104 CRIDER AVE","","MOORESTOWN","NJ","08057","CANER TRANSPORTATION LLC","8569794366","080000","","","","","N","","","","","","N","","","","","","","","1","00823244","04"
"2020043766","99","1","2675 MORGANTOWN ROAD","","READING","PA","19607","PENSKE TRUCK LEASING CO LP","9999999999","999999","","","","","N","","","","","","N","","","","","","","","1","","05"
"2020032501","05","1","3461 COVENT CRES","","MISSISSAUGA","ON","L5M7P","LAKHA TRANSPORT INC","7165660585","080000","","","","","N","","","","","","N","","","","","","","","2","03122183","08"
"2020018129","03","1","3801 OLD GREENWOOD RD","","FORT SMITH","AR","72903","ABF FREIGHT","4797856000","014500","","","","","N","","","","","","N","","","","","","","","1","00082866","08"
"2020046589","02","3","1035 WEST MAIN ST","","NEW HOLLAND","PA","17557","MARIN'S TOWING","7175754660","033000","","","","","N","","","","","","N","","","","","","","","1","","03"
"2020091289","02","99","951 BANKSVILLE RD","","PITTSBURGH","PA","15216","COFFEY CONTRACTING CO","4123411127","004522","","","","","N","","","","","","N","","","","","","","","2","00001603","02"
"2020064861","99","1","3701 W MORRIS ST SUITE 3","","INDIANOPOLIS","IN","46241","ECM TRANSPORT LLC","4124352140","","","","","","N","","","","","","N","","","","","","","","1","00317491","08"
"2020024135","02","8","206 EDDYSTONE AVE SUITE 200","","CRUM LYNNE","PA","19022","COMMUNITY TRANSIT OF DELAWARE","6104903960","010050","","","","","N","","","","","","N","","","","","","","","1","00104436","10"
"2020046916","02","0","9416 DOCTOR PERRY RD","","IJAMSVILLE","MD","21751","DECISIVE COMMUNICATION","9999999999","","","","","","N","","","","","","","","999999999","","","","","","1","99999999","02"
"2020046916","02","0","109 DARK HOLLOW DR","","OAKMONT","PA","15139","FOLINO CONSTRUCTION","9999999999","","","","","","N","","","","","","N","","99999999","","","","","","2","99999999","02"
"2020067587","99","99","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","","","","","","N","","","","","","N","","","","","","","","1","","07"
