"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","TYPE_OF_CARRIER","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2021074481","99","0","909 HAMMERSCHMIDT AVENUE","","LOMBARD","IL","60148","BLACK SEA TRANSPORTATION","9146643124","099999","","","","","N","","","","","","N","","","","","","","","1","02331239","09"
"2021116501","05","1","3200 INDUSTRIES RD","","RICHMOND","IN","47374","XPO LOGISTICS","8148577822","080000","","","","","N","","","","","","N","","","","","","","","1","00425389","08"
"2021037853","02","8","20 EASTGATE INDUSTRIAL DRIVE","","GROVE CITY","PA","16127","MONARCH SCHOOL TRANSPORTATION CO","7242647440","050000","","","","","N","","","","","","","","","00","","","","","1","00856887","12"
"2021037853","03","7","159 TCI PARK DRIVE","","GROVE CITY","PA","16127","TRI COUNTY INDUSTRIES","7247484705","001000","","","","","N","","","","","","","","","00","","","","","3","00208600","99"
"2021066422","05","1","13410 SUTTON PARK DRIVE","","JACKSONVILLE","FL","32224","LANDSTAR INWAY INC","9043989400","080000","","","","","N","","","","","","U","","UNKNOWN","","","","","","2","00216939","08"
"2021013956","03","6","1102 N 17TH STREET APT B","","FORT PIERCE","FL","34950","CNC TRUCKING INC","7728009159","080000","","","","","N","","","","","","N","","","","","","","","1","03295408","08"
"2021047941","03","0","2235 BEAVER AVE","","PITTSBURGH","PA","15223","PORT AUTHORITY OF ALLEGHENY","4124422000","026000","","","","","N","","","","","","N","","A-00976060","","","","","","2","","13"
"2021115289","99","99","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","","","","","","","","","1","","99"
"2021068444","05","99","136 WASHINGTON AVE","","SEYMOUR","CT","06483","S PRUITT LLC","2034109851","080000","","","","","N","","","","","","N","","","","","","","","2","00604107","08"
"2021126539","06","1","174 FEDEX DR","","POCONOS SUMMIT","PA","18346","FEDEX","5708952320","999999","","","","","N","","","","","","","","","","","","","","1","00239039","08"
"2021028599","03","2","437 NORTHERN POTTER RD","","ULYSSES","PA","16948","PATRICK HOOPES TRUCKING INC","8148489754","073280","","","","","N","","","","","","N","","","","","","","","1","02058268","04"
"2021019647","05","1","2367 SYCAMORE ST","","HARRISBURG","PA","17111","JB HUNT TRANSPORTATION","7177824200","076000","","","","","N","","","","","","N","","","","","","","","1","00080806","08"
"2021015968","03","1","10423 WINTER PARK DRIVE","","PALOS HILLS","IL","60465","BARAKA CORPORATION","6303186865","010000","","","","","N","","","","","","N","","","","","","","","1","02942590","08"
"2021024936","02","1","760 INNIS ST PO BOX 1162","","OIL CITY","PA","16301","JOHN E DASHER TRUCKING","8146782201","032900","","","","","N","","","","","","N","","","","","","","","1","00133649","09"
"2021044507","02","3","2549 INDUSTRY LN","","EAST NORRITON","PA","19403","PENN OUTDOOR SERVICES","8558076583","011000","","","","","N","","","","","","N","","","","","","","","2","02310181","03"
"2021106671","05","1","7312 WINTHROP WAY UNIT 12","","DOWNERS GROVE","IL","60516","ARAVAN CARGO INC","2517671516","017500","","","","","N","","","","","","N","","","","","","","","1","03139125","08"
"2021097720","05","2","1861 TERRY DR","","JOLIET","IL","60436","QUALITY CARRIERS INC","8002822031","079000","","","","","N","","","","","","N","","","","","","","","2","02064133","08"
"2021014861","03","3","180 HURLEY RD","","COATESVILLE","PA","19320","FLINGS TOWING INC.","6103836362","025500","","","","","N","","","","","","N","","","","","","","","2","01450267","04"
"2021057430","05","1","765 N IL 83 STE 104","","BENSENVILLE","IL","60106","VIB TRANS INC","2245221887","060000","","","","","N","","","","","","N","","","","","","","","2","03090223","08"
"2021094163","99","0","507 EAST DRIVE","","ALIQUIPPA","PA","15001","CICCONE LANDSCAPING LAWN SVC","9999999999","019500","","","","","","","","","","","","","","","","","","","2","","02"
"2021029444","02","99","901 NORTH CAMERON STREET","","HARRISBURG","PA","17101","CUMBERLAND DAUPHIN HBG TRANSIT","7172388304","","","","","","","","","","","","N","","","","","","","","2","99999999","13"
"2021123340","04","4","116 ME","","116 MENG RD SCHWENKS","PA","19473","BHL COMPANY LLC","6104761722","073280","","","","","N","","","","","","N","","","","","","","","2","01410636","04"
"2021047010","","99","233 MAIN ST","","BRUIN","PA","16022","W.M. GRAHAM","7248225560","019000","","","","","N","","","","","","N","","","","","","","","1","02932263","02"
"2021052598","05","0","500 OLD DOMINION WAY","","THOMASVILLE","NC","27360","OLD DOMINION FREIGHTLINER","8773586920","080000","","","","","N","","","","","","N","","","","","","","","1","00090849","06"
"2021102330","02","99","EQUIP 020-9099 17TH &ARSENAL B","","HARRISBURG","PA","17120","PENNDOT","4123811315","039000","","","","","N","","","","","","N","","","","","","","","2","","09"
"2021101996","03","4","10314 SOMERSET PIKE","","SOMERSET","PA","15501","BARRON TRUCKING LLC","8144433795","040000","","","","","N","","","","","","N","","","","","","","","2","00084909","09"
"2021105537","99","99","4900 CURRY RD","","PITTSBURGH","PA","15236","BALDWIN WHITEHALL SCHOOL DISTRIC","4128857595","","","","","","N","","","","","","N","","","","","","","","2","00009999","15"
"2021092183","02","98","1700 N 11TH ST","","READING","PA","19601","BERKS AREA READING TRANSPORTATIO","6109210605","","","","","","N","","","","","","","","N/A","","","","","4","2","","13"
"2021039016","02","1","1820 KINSEY ST FL 2ND","","PHILADELPHIA","PA","19124","WALKIS TRANSPORTATION INC","2159089162","","","","","","N","","","","","","N","","","","","","","","3","03495225","09"
"2021039016","02","4","3000 HEDLEY ST","","PHILADELPHIA","PA","19137","REPUBLIC SERVICES OF PA LLC","6102656337","","","","","","N","","","","","","N","","","","","","","","4","00348394","09"
"2021109173","02","0","641 FREDERICK STREET","","HANOVER","PA","17331","MOORE SERVICES","7178176558","016000","","","","","","","","","","","N","","","","","","","","1","03049242","99"
"2021053465","02","0","529 E MAIN","","LITITZ","PA","17543","GARCON LLC","7177334383","009500","","","","","N","","","","","","N","","PA080088","","","","","","2","","02"
"2021053465","02","1","21 STEVENS RD","","STEVENS","PA","17578","VERTEX MECHANICAL INC","7173352633","","","","","","N","","","","","","N","","PA006362","","","","","","3","","02"
"2021118675","02","99","55 E COURT ST","","DOYLESTOWN","PA","18901","BUCKS COUNTY ADMIN.","2153486000","014001","","","","","","","","","","","","","","","","","","9","2","","99"
"2022001550","05","99","UNKNOWN","","UNKNOWN","ZZ","00000","UNKNOWN","9999999999","999999","","","","","","","","","","","","","","","","","","9","2","","99"
"2021031250","02","1","600 BROOKE RD","","GLENSIDE","PA","19038","CHESTER UPLAND TRANSPORTATION","2158133150","","","","","","","","","","","","N","","A00123255","","","","","","1","01497653","12"
"2021036172","02","3","142 WHITTEN RD","","AUGUSTA","ME","04332","MMTA SERVICES INC","2076234128","018000","","","","","N","","","","","","N","","","","","","","","1","00241411","06"
"2021057697","02","1","18136 AIRPORT RD","18136 AIRPORT RD","CALEDON EAST","ON","L7K2G","VRP LOGISTICS INC","2702056096","","","","","","N","","","","","","N","","902493","","","","","","1","02578722","08"
"2021079617","01","8","1234 MARKET STREET","","PHILADELPHIA","PA","19107","SEPTA","2155803846","000000","","","","","N","","","","","","","","N/A","","","","","","2","00068427","13"
"2021073826","02","1","155 FOOD CENTER DR","","BRONX","NY","10474","BALDOR EXPRESS","7188609100","026000","","","","","N","","","","","","N","","","","","","","","2","00823890","03"
"2021030342","05","99","1278 COOK RD","","RIDGEWAY","SC","29130","MO TRUCKING","4043991682","044000","","","","","N","","","","","","N","","","","","","","","1","02527517","09"
"2021058428","04","7","197 SWAMP CREEK RD","","GILBERTSVILLE","PA","19525","WASTE MANAGEMENT OF PA INC","6103671383","079000","","","","","N","","","","","","N","","","","","","","","4","00344050","09"
"2021057329","04","2","6440 S MILLROCK DR SUITE 15","","SALT LKE CITY","UT","84121","DYNO NOBEL INC","4435069480","070000","1","","","","Y","1","","","","","N","","","","","","","","1","00004183","04"
"2021092719","03","0","7273 STATE RD 76","","NEENAH","WI","54956","ROADSAFE TRAFFIC LP","7249918578","025500","","","","","N","","","","","","N","","","","","","","","1","00717663","00"
"2021118097","02","1","7413 BAXTER AVE","","PENNSAUKEN","NJ","08109","ROYAL BREAD","2672446514","","","","","","N","","","","","","N","","","","","","","","1","03664953","09"
"2021106938","99","1","359 E PARK DR","","HARRISBURG","PA","17111","UNITED PARCEL SERVICE","9999999999","023000","","","","","","","","","","","","","","","","","","","1","","02"
"2021123529","02","2","3967 PARRISH ST","","PHILADELPHIA","PA","19104","D C FUEL OIL INC","2153869000","032900","3","","","","Y","1","","","","","N","","","","","","","","2","01786473","03"
