"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2021088701","","1","AL","7TR0604A","2021","7","1"
"2021038304","","0","PA","PT785KY","2021","7","2"
"2021016896","","0","ME","357557Z","2021","7","1"
"2021020053","","0","PA","PT5669Y","2021","7","2"
"2021023005","","0","IL","735254ST","2021","7","1"
"2021023005","","0","PA","PT7495X","2021","7","2"
"2021046091","","0","OR","HS39733","2099","7","1"
"2021040722","","1","PA","XCE7269","2020","8","2"
"2021087324","","1","PA","LGR2823","2009","1","2"
"2021001237","","0","NC","AH70767","2021","6","1"
"2021106155","","0","PA","XKR7663","2022","8","2"
"2021052589","","0","PA","XCA2069","2022","3","1"
"2021099731","","1","OK","2353JN","2021","7","1"
"2022000728","","0","PA","PT148M6","2007","7","1"
"2021098076","99999999999","1","PA","PT4233Z","9999","7","2"
"2021043401","","0","PA","XKV0404","2021","3","1"
"2021096412","","1","FL","QA06BP","2099","7","1"
"2021067235","","0","IL","616849ST","2021","7","1"
"2021007833","","0","ME","262856Z","2036","7","2"
"2021101087","3H3V532C8FT","1","ME","24TLR69175","2024","7","1"
"2021128383","","1","PA","PT923B7","2017","7","1"
"2021127291","","0","IN","P694588","2022","7","1"
"2021127291","","0","ME","2247201","2022","7","2"
"2021030298","","0","PA","XLM8304","2021","7","2"
"2021121709","","1","PA","PT129K2","2021","7","1"
"2021079062","","1","ME","433151Y","2021","7","1"
"2021056114","","0","NJ","TNN4414``","2021","7","2"
"2021096816","","1","IL","748193ST","2022","7","3"
"2021096912","","1","ME","2333367E","2002","7","2"
"2021055136","","0","TN","U998557","2099","7","1"
"2022020921","","0","TN","115473T","2021","7","1"
"2021055888","","1","MN","7298STX","2021","7","1"
"2021021385","","0","ME","219330A","2009","7","1"
"2021005431","","0","IL","P893014","2021","7","1"
"2021079977","","0","ME","365655Z","2022","6","1"
"2021002998","","0","WV","C322698","2021","7","1"
"2021020150","","0","TN","T942506","2099","7","2"
"2021078085","","0","ME","251226A","2025","6","2"
"2021007327","","0","PA","PT865B7","2021","6","2"
"2021040126","","0","PA","","","3","2"
"2021041898","","0","IL","T548469","2021","7","2"
"2021050863","","0","FL","2893CU","2021","7","1"
