"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2024029105","Y","Y","U","Y","U","Y","1","Y","Y","00130","N","","","","","","","","N","1"
"2024063446","Y","Y","Y","Y","Y","Y","3","Y","N","00805","N","","","","","","","","N","1"
"2024052371","Y","Y","N","Y","N","","0","Y","N","01690","N","","","","","","","","N","2"
"2024088102","Y","N","U","Y","U","N","1","N","N","00500","N","","","","","","","","N","1"
"2024031181","N","Y","N","Y","Y","Y","1","Y","Y","00883","N","","","","","","","","N","1"
"2024051191","Y","Y","Y","Y","Y","Y","1","Y","N","01800","Y","Y","Y","Y","Y","1","Y","N","N","2"
"2024046070","N","Y","N","Y","Y","Y","1","Y","Y","00300","N","","","","","","","","N","1"
"2024061996","N","N","N","Y","U","N","1","Y","Y","00600","Y","N","Y","Y","Y","1","U","U","N","2"
"2024083506","Y","N","Y","N","Y","Y","1","Y","Y","01337","N","","","","","","","","N","1"
"2024093680","N","Y","Y","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","1"
"2024071116","N","N","Y","Y","Y","Y","1","Y","N","00750","N","","","","","","","","N","1"
"2024077492","N","N","N","Y","N","Y","1","Y","N","00600","N","","","","","","","","N","2"
"2024109183","N","Y","U","Y","Y","Y","1","Y","Y","00599","N","","","","","","","","N","1"
"2024071363","Y","Y","Y","N","N","N","0","Y","N","15000","Y","Y","N","N","N","0","Y","N","N","1"
"2024020532","N","U","U","Y","Y","Y","1","Y","Y","01200","N","","","","","","","","N","2"
"2024075160","U","U","N","U","U","Y","2","Y","N","00649","N","","","","","","","","N","2"
"2024038655","Y","Y","U","Y","Y","Y","1","Y","Y","01300","N","","","","","","","","N","1"
"2024069283","N","Y","N","Y","Y","Y","3","Y","Y","01690","N","","","","","","","","N","1"
"2024087146","Y","Y","U","Y","N","","0","Y","Y","01100","N","","","","","","","","N","1"
"2025018322","N","U","U","Y","U","Y","1","Y","N","30000","N","","","","","","","","N","1"
"2024060484","N","N","Y","Y","Y","Y","1","Y","Y","01100","N","","","","","","","","N","1"
"2024100256","N","N","N","Y","U","N","1","N","N","01000","Y","N","Y","U","N","1","N","N","N","1"
"2025001159","Y","N","N","Y","N","","0","Y","Y","01800","N","","","","","","","","N","1"
"2024080482","N","U","U","Y","Y","Y","1","N","N","80000","N","","","","","","","","N","2"
"2024034372","N","N","Y","Y","U","Y","1","Y","N","00600","N","","","","","","","","N","2"
"2024076593","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","2"
"2024086099","Y","U","U","U","U","U","9","U","U","00450","N","","","","","","","","N","1"
"2024074923","N","Y","Y","Y","N","Y","1","Y","Y","00645","N","","","","","","","","N","3"
"2024064304","N","Y","Y","Y","Y","Y","3","Y","N","01450","Y","Y","Y","Y","Y","2","Y","N","N","2"
"2024062663","Y","Y","Y","Y","Y","Y","1","Y","N","01100","N","","","","","","","","N","2"
"2024063186","N","Y","Y","Y","N","Y","1","Y","Y","00400","N","","","","","","","","N","1"
"2024087062","N","U","N","U","U","U","9","U","U","99999","N","","","","","","","","N","2"
"2024063862","N","N","N","Y","N","N","0","N","N","00400","N","","","","","","","","N","1"
"2024081174","N","N","Y","Y","Y","Y","1","Y","Y","00300","N","","","","","","","","N","1"
"2024066843","Y","U","U","Y","U","U","3","Y","U","01868","N","","","","","","","","N","2"
"2024024303","Y","Y","Y","Y","Y","U","1","Y","Y","01917","N","","","","","","","","N","1"
"2024065435","U","Y","Y","Y","Y","U","1","Y","Y","00400","N","","","","","","","","N","1"
"2024086230","N","U","N","Y","N","N","1","Y","N","00112","N","","","","","","","","N","1"
"2024081112","Y","Y","U","Y","N","","0","Y","N","01450","Y","N","Y","N","N","0","Y","N","N","1"
"2024070744","Y","Y","Y","Y","Y","Y","3","Y","Y","01200","N","","","","","","","","N","1"
"2024105855","N","Y","U","Y","U","Y","1","Y","Y","00300","N","","","","","","","","N","1"
"2024058537","Y","Y","U","Y","U","Y","3","Y","U","01700","N","","","","","","","","N","2"
"2024100633","Y","Y","Y","Y","Y","Y","1","Y","Y","00800","N","","","","","","","","N","1"
"2024063095","Y","U","U","U","Y","Y","2","Y","U","01690","N","","","","","","","","N","2"
"2024027109","N","Y","Y","Y","U","U","1","Y","Y","00150","N","","","","","","","","N","2"
"2024050179","N","N","N","N","N","N","0","N","N","00050","N","","","","","","","","N","1"
"2024054513","N","U","U","U","U","U","9","U","U","99999","Y","U","U","U","U","9","U","U","N","2"
"2024051327","N","N","N","N","Y","Y","3","N","N","00089","N","","","","","","","","N","1"
"2024101150","N","N","U","Y","Y","N","1","Y","Y","01450","N","","","","","","","","N","1"
"2024083838","N","N","U","U","N","U","1","Y","Y","01200","N","","","","","","","","N","1"
"2024020845","N","U","N","U","N","N","0","Y","Y","01340","Y","U","U","N","N","0","Y","Y","N","1"
"2024020845","Y","Y","Y","Y","N","N","0","Y","Y","01746","N","","","","","","","","N","2"
"2024047182","N","U","Y","Y","U","Y","1","Y","Y","00750","Y","U","Y","U","Y","1","Y","Y","N","2"
"2024047197","N","Y","Y","Y","Y","Y","1","Y","Y","00599","N","","","","","","","","N","2"
"2024069730","N","Y","Y","Y","Y","Y","1","Y","N","00900","N","","","","","","","","N","2"
"2024050365","N","Y","U","N","U","Y","1","Y","Y","00750","N","","","","","","","","N","1"
"2024071871","N","N","N","Y","N","N","0","N","N","00124","Y","N","U","N","N","0","Y","N","N","1"
"2024073017","N","N","Y","Y","U","Y","1","Y","N","01300","N","","","","","","","","N","1"
"2024073017","N","N","Y","N","U","Y","1","N","N","00350","Y","N","N","U","N","1","N","N","N","2"
"2024050674","Y","U","Y","Y","Y","Y","3","U","U","01340","N","","","","","","","","N","1"
"2024088910","Y","Y","U","Y","U","Y","3","Y","Y","01150","N","","","","","","","","N","2"
"2024096349","Y","Y","U","Y","Y","N","1","Y","Y","00755","N","","","","","","","","N","1"
"2024022099","N","U","U","Y","U","Y","1","Y","Y","01000","N","","","","","","","","N","1"
"2024040578","U","U","U","U","U","U","9","U","U","00599","N","","","","","","","","N","1"
"2024040626","N","U","U","N","N","N","0","Y","N","99999","N","","","","","","","","N","1"
"2024045830","N","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2024069722","Y","N","U","Y","N","","0","U","U","00125","N","","","","","","","","N","1"
"2024056888","N","N","N","Y","U","Y","1","N","N","00149","N","","","","","","","","N","2"
"2024027754","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2024075899","Y","U","U","U","U","Y","1","Y","Y","01450","N","","","","","","","","N","2"
"2024088270","N","U","U","Y","U","U","1","Y","Y","60000","N","","","","","","","","N","1"
