"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","TYPE_OF_CARRIER","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2022045716","02","8","114 E BROAD STREET","","TRUMBAURSVILLE","PA","18970","LEVY SCHOOL BUS COMPANY","6103236820","","","","","","N","","","","","","","","","00","","","","9","1","00952921","12"
"2022045716","02","8","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","2157151313","","","","","","N","","","","","","","","","00","","","","9","2","00010206","13"
"2022052687","02","1","11763 SHIRLEY AYR ROAD","","MOUNT UNION","PA","17066","PARKS GARBAGE SERVICE","8004864490","026000","","","","","N","","","","","","","01","","00","","","","9","1","02103091","02"
"2022094403","99","8","3433 SMALLMAN ST","","PITTSBURGH","PA","15201","ALLEHENY PLYWOOD CO INC1","9999999999","","","","","","N","","","","","","","","","00","","","","4","1","00488179","10"
"2022087691","05","1","540 E NEES AVE #284","","FRESNO","CA","93720","RISING TRANSPORT","2094829866","080000","","","","","N","","","","","","","01","","00","","","","9","1","03532383","08"
"2022101968","03","98","411 MAIN ST","","MOUNT HOPE","WV","25880","GREEN LEAF SERVICES LLC","3046636304","038000","","","","","N","","","","","","","02","","00","","","","9","1","01746705","08"
"2022074624","","1","UNKNOWN","","UNKNOWN","ZZ","99999-9999","UNKNOWN","9999999999","","","","","","N","","","","","","","99","","00","","","","9","1","99999999","08"
"2022077553","02","98","1805 BERKS RD","","WORCESTER","PA","19490","ALLAN MYERS","6105846020","026000","","","","","N","","","","","","","01","","00","","","","1","2","01109502","09"
"2022087640","03","4","251 CEMETERY RD","","SALTSBURG","PA","15681","TAYLOR LEASING","7248409474","","","","","","N","","","","","","","99","0000","00","","","","9","1","00000000","05"
"2022087611","05","1","17518 STONEVALLEY DRIVE","","HAGERSTOWN","MD","21740","FOSTER TRUCKING INC","3013025199","","","","","","N","","","","","","","01","","00","","","","1","1","01398859","08"
"2022106253","02","0","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY CO","4124432000","","","","","","N","","","","","","","","A-00976060","00","","","","9","2","","13"
"2022004102","05","1","3501 MONTGOMERY RD. APT 8","","LOVELAND","OH","45140","SAM CITY LLC","5135019119","080000","","","","","N","","","","","","","","","00","","","","9","1","03445250","08"
"2022065324","02","98","1595 SMITH TOWNSHIP STA PO BOX","","ATLASBURG","PA","15004","ALEX E PARIS CONTRACTING COM","7243507168","","","","","","N","","","","","","","","","00","","","","2","2","00348364","09"
"2022060304","99","3","8841 RT 20 SOUTH RD","","FRENCH CREEK","WV","26218","D & D TRUCKING LLC","3045176547","075000","","","","","N","","","","","","","02","","00","","","","1","1","01291975","08"
"2022060304","99","98","4257 SECRETARIAT ST","","HARRISBURG","PA","17112","LASURE TRANSPORT LLC","6099333925","023000","","","","","N","","","","","","","99","","00","","","","1","3","02836437","08"
"2022047907","99","1","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","","","","00","","","","9","1","","08"
"2022118938","99","1","15938 TURTLE BAY PLACE","","FONTANA","CA","92336","PRO TEC INC","9999999999","040000","","","","","N","","","","","","","02","","00","","","","1","1","02596782","09"
"2022110590","03","0","4396 CHAMBERS HILL ROAD","","HARRISBURG","PA","17111","POOJA TRUCKING INC","7175036368","017500","","","","","N","","","","","","","01","","00","","","","1","2","01851484","04"
"2022111555","05","11","4057 STATE ROUTE 225","","DIAMON","OH","44412","ROSE TRANSPORTATION","7817676160","080000","","","","","N","","","","","","","01","","00","","","","9","1","02365308","08"
"2023003599","99","4","149 NEWBOLD ROAD","","FAIRLESS HILLS","PA","19030","SUPERIOR MATERIALS INC","2154280503","068720","","","","","N","","","","","","","99","A-9999999","00","","","","1","2","01652921","09"
"2022029699","02","0","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY CO","4124422000","","","","","","N","","","","","","","","","00","","","","4","2","","13"
"2022071415","03","3","1227 LYSLE BLVD","","MCKEESPORT","PA","15132","AMERICAN RECOVERY CORP","4124018799","","","","","","N","","","","","","","99","","00","","","","9","1","","04"
"2022088552","99","1","901 N KANSAS AVE","","NORT LIBERTY","IA","52317","HEARTLAND EXPRESS INC","8005531201","080000","","","","","N","","","","","","","","","00","","","","9","1","00134697","08"
"2022003986","03","4","PO BOX 426","","SELLERSVILLE","PA","18960","TOTH BROTHERS CLEARING &DREDGING","2153687178","073280","","","","","N","","","","","","","99","","00","","","","9","2","00712213","04"
"2022042209","02","0","2235 BEAVER AVENUE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY COUN","4124422000","","","","","","N","","","","","","","","A-00976060","00","","","","2","2","","13"
"2022071612","02","1","120 W PUMPING STATTION RD","","QUAKERTOWN","PA","18951","AMOZON","9499458165","025950","","","","","N","","","","","","","","","00","","","","9","1","02881058","09"
"2022035899","02","99","16 CHAMBERS AVE","","GREENVILLE","PA","16125","TRAVIS F BEACH","7247187878","","","","","","N","","","","","","","99","","00","","","","9","2","","99"
"2022113832","99","0","1317 HIGHPOINT CT","","BARTLETT","IL","60103","ABS TRANSPORTATION INC","3125151651","","","","","","N","","","","","","","","","00","","","","1","2","03191457","00"
"2023001200","03","98","11 FOOT CRES","","CAMBRIDGE","ON","L6H1A7","SSP TRUCK LINE","6479648707","007939","","","","","N","","","","","","","02","","00","","","","1","1","08477009","08"
"2022022242","02","1","316 OLD BLUE ROCK RD","","MILLERSVILLE","PA","17551","SCHEID PRODUCE","9999999999","025950","","","","","N","","","","","","","","","00","","","","1","2","00371699","09"
"2022006505","03","1","PO BOX 100","","SIKESTON","MO","63801","SEMO EXPRESS LLC","5734819481","999999","","","","","N","","","","","","","","","00","","","","1","1","01651615","08"
"2022006505","03","1","5909 PEARL RIDGE DR","","BAKERSFIELD","CA","93313","PB 29 TRANSPORT INC","6618173636","","","","","","N","","","","","","","","","00","","","","1","2","03107576","08"
"2022099795","05","98","2900 ORTHODOX ST STE 10 A","","PHILADELPHIA","PA","19137","GOMES EXPRESS INC","2158213316","080000","","","","","N","","","","","","","02","","00","","","","1","2","02076006","08"
"2022045983","06","1","400 MICHEL JASMIN AVE, APT 150","","DORVAL","QC","H9P1C1","LOGISTIQUE TRANSTEK INC.","5146362315","080000","","","","","N","","","","","","","","","00","","","","1","1","03268821","08"
"2022017597","03","2","400 S BROAD ST PO BOX 1669","","LANSDALE","PA","19446","CLYDE WALTON","2673544039","033000","3","","","","Y","1","","","","","","","0","00","","","","2","2","02073884","04"
"2022031303","05","1","346 N GRANDSTAFF DR","","AUBURN","IN","46706","NOVI TRUCKING INC","2199993309","080000","","","","","N","","","","","","","01","","00","","","","1","1","03280616","08"
"2022004455","05","1","451 N LANCASTER ST","","JONESTOWN","PA","170388735","FISH TRANSPORTATION LLC","7172781092","080000","","","","","N","","","","","","","","","00","","","","1","2","01571605","08"
"2022033838","03","98","900 MOUNTAIN CREEK RD","","CHATTANOOGA","TN","37405","FRIEGHT WORKS","8283951274","080000","","","","","N","","","","","","","02","","00","","","","2","1","02273658","08"
"2022073347","02","3","111 SPRUCE ST","","ARCHBALD","PA","18403","ANYTIME TOWING LLC","5705214249","025500","","","","","N","","","","","","","","","00","","","","9","2","02567194","03"
"2022019800","05","1","1051 KINGS MILLS RD APT 309","","GREENWOOD","IN","46142","THREE WAY LOGISTICS INC","5166036024","080000","","","","","N","","","","","","","","","00","","","","9","3","03466282","08"
"2022048501","02","8","101 CASTLEVIEW ROAD","","PITTSBURGH","PA","15234","MATTHEWS BUS CO.","4123848810","","","","","","N","","","","","","","99","","00","","","","4","2","","10"
"2022040925","02","1","1003 8TH AVENUE","","LA GRANGE","IL","60525","EXPOTRUCKING","7797071020","080000","","","","","N","","","","","","","","","00","","","","1","1","03030490","08"
"2022093356","03","3","186 MURPHY RUN","","STROUDSBURG","PA","18360","PAPILLON & MOYER EXCV & PAV LLC","5704215020","080000","","","","","N","","","","","","","99","00121296","00","","","","9","2","01225014","99"
"2022119853","05","1","9308 BECKETT LANE","","FORTH WORTH","TX","76123","OLIVIA LOGISTICS","8179833300","080000","","","","","N","","","","","","","02","","00","","","","1","2","03441261","09"
"2023000715","02","1","801 OSTRUM ST","","BETHLEHEM","PA","18015","ST LUKES HOSPITAL","9999999999","007300","","","","","N","","","","","","","","","00","","","","9","1","","03"
"2023000715","99","99","UNK","","UNK","PA","99999","PENNDOT","9999999999","014000","","","","","N","","","","","","","","","00","","","","9","2","","99"
"2022059812","03","1","521 OLEY ST","","READING","PA","19601","FERNANDEZ TRUCKING","4847588990","080000","","","","","N","","","","","","","02","","00","","","","1","1","03392213","06"
"2022018911","04","2","2275 SWALLOW HILL RD BUILDING","","PITTSBURGH","PA","15220","ECO EMISSIONS LLC","4126133547","072500","","","","","N","","","","","","","","A-8923058","00","","","","9","1","03402053","04"
"2022031618","05","3","3454 DES GENERATEURS","","JONQUIERE","PE","G7X0M1","S L B TRANSIT INC","4185471255","080000","","","","","N","","","","","","","","","00","","","","1","2","02158312","08"
"2022012380","04","1","100 ILLNOIS ST","","ST. CHARLES","IL","60174","CARDINAL","8336586437","","","","","","N","","","","","","","99","","00","","","","1","1","00191496","08"
"2022006788","05","1","11886 S. DIXIE HWY","","SONORA","KY","42776","SAMMY WOOTEN TRUCKING LLC","2703699655","080000","","","","","N","","","","","","","","","00","","","","9","1","00092143","08"
"2022032837","01","98","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","2155807800","","","","","","N","","","","","","","99","9999","00","","","","4","1","00009999","13"
"2022032837","01","8","3021 FRANKS RD SUITE 8","","HUNTINGDON VALLEY","PA","19006","MERCY AMBULANCE AND EMS INC","2672370442","","","","","","N","","","","","","","99","9999","00","","","","4","2","00009999","13"
"2022017413","03","1","178 PICKWICK CIR","","PALMYRA","PA","17078","ICA INTERNATIONAL","7176551126","080000","","","","","N","","","","","","","","","00","","","","1","2","03669105","03"
"2022022090","05","1","3088 ELM POINT INDUSTRIAL DRIV","","ST CHARLES","MO","63301","STL TRUCKERS LLC","3143966922","080000","","","","","N","","","","","","N","","","","","","","","2","02523551","08"
"2022008914","06","1","49 E CUMBERLAND","","ALLENTOWN","PA","18102","ALVAREZ RAMIREZ, YEURY","4846199140","080000","","","","","N","","","","","","","","","00","","","","9","2","03482330","06"
"2022039353","03","0","5312 W 124TH ST","","ALSIP","IL","60803","EM CARGO LLC","3129950581","","","","","","N","","","","","","","","","00","","","","1","1","03073738","08"
"2022018992","02","98","2075 W. PINNACLE PEAK RD. SUIT","","PHOENIX","AZ","85027","EVO TRANSPORTATION","4804855862","080000","","","","","N","","","","","","","","","00","","","","1","3","00083820","08"
"2022078771","05","1","4640 GREEN COURT","","ELKHART","IN","46514","PRIME TRANSPORT INC","5742951886","080000","","","","","N","","","","","","","02","","00","","","","1","1","00327540","08"
"2022078107","02","1","3095 COLUMBIA BLVD","","BLOOMSBURG","PA","17821","ENTERPRISE","8552669565","025500","","","","","N","","","","","","","","","00","","","","9","1","02131818","09"
"2022121022","03","0","9219 INDIANAPOLIS BLVD","","HIGHLAND","IN","46322","MAYAN FREIGHT","5085601519","080000","","","","","N","","","","","","","99","","00","","","","1","1","03619181","09"
"2022025025","02","99","2745 BLACK BRIDGE RD","","YORK","PA","17406","IB ABLE INC","7178451639","033000","","","","","N","","","","","","N","","","","","","","","1","00916720","98"
"2022002900","02","98","111 FOX HAVEN BLVD.","","MYRTLE BEACH","SC","29588","GOHN TRANSPORT","8143274536","026000","","","","","N","","","","","","","","","00","","","","9","1","02415220","98"
"2022002900","03","1","2601 RIVER RD","","CONESTOGA","PA","17516","TURKEY HILL LLC","7178725461","065000","","","","","N","","","","","","","","","00","","","","9","2","00011517","08"
"2022081542","05","11","1961 HARTEL AVE","","LEVITTOWN","PA","19057-4505","VETRI INC","2159466400","065000","","","","","N","","","","","","","","","00","","","","1","2","00398991","08"
"2022073349","05","1","14736 VALLEY BLVD","","LA PUENTE","CA","91746","GOLDEN DRAGON EXPRESS INC","9097883973","","","","","","N","","","","","","","02","","00","","","","1","1","03205106","08"
"2022073349","05","1","3255 MAPLE AVE","","BURLINGTON","NC","27215","CAROLINA TANK LINES INC","3362267039","","","","","","N","","","","","","","02","","00","","","","1","2","00226571","08"
"2022073349","05","1","1301 RIVERFRONT PARKWAY SUITE","","CHATTANOOGA","PA","37402","F2F TRANSPORT LLC","4237719599","","","","","","N","","","","","","","02","","00","","","","1","3","00239699","08"
"2022073349","02","3","53 BENS BYE WAY","","MILROY","PA","17063","NIKOLAS D DUDUKOVICH","8145743583","","","","","","N","","","","","","","99","","00","","","","9","5","","03"
"2022073349","03","1","2273 RESEARCH BLVD FLOOR 7","","ROCKVILLE","MD","20850","ENTERPRISE RAC COMPANY OF MARYLA","3016708649","","","","","","N","","","","","","","02","","00","","","","1","9","01880016","04"
"2022073349","03","8","1289 DIVISION HWY","","EPHRATA","PA","17522","MELARD COACH","7177384870","","","","","","N","","","","","","","02","","00","","","","1","10","01406759","14"
"2022073349","05","1","1498 CLYDE WAITE DR","","BRISTOL","PA","19007","IDEAL TRANS LLC","2153851545","","","","","","N","","","","","","","02","","00","","","","9","12","02481305","08"
"2022073349","05","1","220 ARGELIA","","CHAPARRAL","NM","88081","OKUBO TRANSPORTATION","5758244215","","","","","","N","","","","","","","02","","00","","","","1","13","00917291","08"
"2022073349","05","1","730 RIESGRAF RD","","CARVER","MN","55315","UAK TRUCKING LLC","9524576150","","","","","","N","","","","","","","02","","00","","","","1","15","02361624","08"
"2022073349","99","1","11500 OUTLOOK STREET SUITE 400","","OVERLAND PARK","KS","66211","YRC INC","9136966100","","","","","","N","","","","","","","02","","00","","","","1","16","00071821","08"
"2022073349","05","1","1000 FEDEX DRIVE","","CORAPOLIS","PA","15108","FEDEX GROUND","4127478482","","","","","","N","","","","","","","02","","00","","","","1","18","00265752","08"
"2022106487","05","1","1604 INDUSTRIAL DR","","CARLISLE","PA","17013","THE GIANT COMPANY LLC","7179200437","080000","","","","","N","","","","","","","","","00","","","","2","1","00005874","08"
"2022124294","02","3","300 COMMERCIAL DR","","WASHINGTON","PA","15301","SPECIALIZED PROFESSIONAL SERVICE","7243289019","","","","","","N","","","","","","","99","","00","","","","9","1","","03"
"2022043523","02","98","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY CO","4124422000","041600","","","","","N","","","","","","","02","A-00976060","00","","","","1","1","09999999","13"
"2022046155","02","1","2001 JOSHUA RD","","LAFAYETTE HILL","PA","19444","HAJOCA CORPORATION","2672467532","025950","","","","","N","","","","","","","","","00","","","","1","1","00005373","05"
"2022079193","03","4","PO BOX 3036","","RUSELLVILLE","AR","72811","DENALI WATER SOLUTIONS","4794980500","071720","","","","","N","","","","","","","","0","00","","","","2","2","00876076","04"
"2023013695","03","0","PO BOX 45","","RIVERTON","NJ","08077","ALTO'S EXPRESS INC","8568296900","080000","","","","","N","","","","","","","","","00","","","","1","2","00128799","08"
"2022070923","02","8","8950 EAST LOWRY","","DENVER","CO","80230","TOTAL LONG TERM CARE INC","3038694664","014500","","","","","N","","","","","","","","","00","","","","1","3","02611140","10"
"2022071431","02","3","24 COUNTY ROUTE 1A","","OSWEGO","NY","13126","CHASE ENTERPRISES","3152166337","010001","","","","","N","","","","","","","99","","00","","","","3","1","01405459","03"
"2022121177","05","1","1393 W BALTIMORE PIKE","","WAWA","PA","190635699","WAWA INC","6103588701","073000","","","","","N","","","","","","","99","","00","","","","1","2","00032945","08"
"2022098613","99","0","1519 COMMERCE AVENUE","","CARLISLE","PA","17015","GET INC","7176591056","080000","","","","","N","","","","","","","99","","00","","","","1","1","99999999","08"
