"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2022013704","1DW1A482XDS","1","VA","388020TL","2022","7","1"
"2022034510","LJRC41264LT","1","ME","4010968","2040","7","2"
"2022124372","99999999999","1","","","","1","1"
"2022124372","99999999999","1","","","","9","2"
"2022124159","1GRAA7224DB","1","PA","PT7435T","2022","7","1"
"2022124159","1E1H5Y288YR","1","ME","A463723","2022","7","2"
"2022003938","99999999999","1","ID","TN1064","2020","7","1"
"2022107425","UNKNOWN","1","ZZ","UNKNOWN","2022","7","1"
"2022034510","1TTF532A8D3","1","ME","2294403","2022","7","3"
"2022089935","UNKNOWN","1","IN","PB43852","2023","7","2"
"2022013326","99999999999","1","","UNKNOWN","2022","7","2"
"2022125072","13N14830261","1","MD","225538T","1994","6","1"
"2022047881","5HTAB442XC7","1","PA","PT6534S","2022","7","2"
"2022046853","58CB1TB1XGC","1","PA","XMJ3048","2024","3","1"
"2022045968","1UYVS2539GM","1","WI","709545","2022","7","2"
"2022045968","1JJV532W39L","1","WI","T468079","2022","7","3"
"2022103956","5DMFABTB12M","1","QC","RK9426M","2023","7","1"
"2022018662","1AJC4025XS1","1","OR","HQ67227","2022","7","2"
"2022006651","99999999999","1","IL","689487","2022","7","1"
"2022006787","99999999999","1","ME","3832562","2022","7","1"
"2022075008","2M592161231","1","NC","88KJL","2023","7","2"
"2022104087","1UYVS2539K7","1","PA","PT426M5","2022","7","1"
"2022002860","99999999999","1","PA","PT179F7","2022","7","2"
"2022051218","1GRAA96235W","1","MI","D269861","2022","7","2"
"2022048366","5EF2GC401KB","1","TN","U833680","2099","7","1"
"2022076152","13N14830X41","1","PA","PT341D4","9999","6","1"
"2022058257","1120HA203GT","1","PA","PT4957V","2022","6","2"
"2022059687","99999999999","1","TN","163996T","","6","2"
"2022024422","1DW1A5322NS","1","IL","834371ST","2022","6","2"
"2022064877","1M2P337C84M","1","MD","NONE","2022","2","1"
"2022084464","00000000000","1","ZZ","999999","2022","7","2"
"2022122631","3H3V532C1LR","1","ID","TN2715","2099","7","1"
"2022099918","1GRAA0627EB","1","PA","PT6558X","2022","7","2"
"2022020178","1UYVS2537M6","1","WI","793952","","6","1"
"2022052161","550FD2020KS","1","OH","TRF6771","2021","3","1"
"2022053434","","0","PA","XLH9994","2024","3","2"
"2022080140","4EAFPRJ11N2","1","PA","XNT7374","2023","3","2"
"2022047084","527SR2811KM","1","ME","2656949","2022","7","2"
"2022031720","2MN01AAH771","1","NJ","TST636","2023","7","2"
"2022030986","99999999999","1","PA","XLT6961","2022","3","1"
"2022064562","573TT3328MD","1","PA","XND4066","2022","5","2"
"2022094956","5501B1214LS","1","PA","XMA9927","2022","6","2"
"2022055970","15XFH25287L","1","PA","PT501A9","2022","3","2"
"2022115592","1E1D2S387ER","1","PA","PT592P5","2023","6","1"
"2022078149","1GRAA06217G","1","OK","1480FL","2021","7","2"
"2022095301","1GRAP0621JD","1","IN","P678130","2023","7","2"
"2022067444","99999999999","1","ZZ","99999","2022","7","2"
"2022110872","1JJV532D1KL","1","OH","TRG3453","2023","7","1"
"2022066437","3H3V532K6NJ","1","IN","PA45784","2022","7","1"
"2022120922","99999999999","1","MO","42A041","","7","2"
"2022119999","1E1F9V288NR","1","PA","PT006N9","2023","7","1"
"2022045100","1M9SF14248M","1","PA","XKM0192","2023","3","2"
"2022051469","5A3C818D0BL","1","PA","XLD0272","2024","3","3"
"2022076239","1GRAA0625FE","1","IL","651535ST","2023","7","1"
"2022076239","43YDC1427DC","1","ME","2580556","2028","7","2"
"2022034813","1GR1P0627LT","1","MO","78K5GC","2020","6","1"
"2022099011","5VGFW5134GL","1","PA","XMM3503","2023","6","1"
"2022039492","58CB1TH27KC","1","PA","PT010G1","2022","6","1"
"2022014281","99999999999","1","VA","387068TL","2022","7","1"
"2022014281","1JJV532W99L","1","PA","PT552N1","2022","7","2"
"2022083880","56JTE1629JA","1","OH","TRD7286","2023","3","2"
"2022003971","","0","IN","P859135","2022","7","1"
