"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2022076020","N","U","N","Y","N","U","9","U","U","00900","N","","","","","","","","N","1"
"2022092358","N","N","N","N","N","N","0","N","N","24876","N","","","","","","","","N","1"
"2022063966","N","U","Y","U","N","N","0","Y","U","01573","N","","","","","","","","N","1"
"2022098146","Y","Y","Y","Y","Y","Y","1","Y","Y","01200","N","","","","","","","","N","1"
"2022044116","Y","N","U","N","N","N","0","Y","Y","00650","N","","","","","","","","N","1"
"2022066259","N","N","U","Y","Y","Y","1","Y","Y","00650","N","","","","","","","","N","1"
"2022054599","Y","Y","Y","Y","N","N","0","Y","Y","01650","N","","","","","","","","N","2"
"2022051283","N","Y","U","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","1"
"2022097635","","","","","","","","","","","","","","","","","","","","2"
"2022060275","N","Y","Y","Y","Y","Y","1","Y","Y","01500","N","","","","","","","","N","1"
"2022033777","Y","N","N","U","Y","Y","2","Y","U","00049","N","","","","","","","","N","2"
"2022047921","Y","Y","Y","N","N","N","0","Y","Y","01746","N","","","","","","","","N","1"
"2022068661","N","U","Y","U","N","N","0","Y","Y","01200","N","","","","","","","","N","1"
"2022076390","N","Y","N","Y","N","","0","Y","N","01200","N","","","","","","","","N","2"
"2022086314","N","Y","Y","Y","U","Y","1","Y","Y","00693","N","","","","","","","","N","1"
"2022121337","","","","","","","","","","","","","","","","","","","","2"
"2022018674","Y","U","U","Y","U","Y","1","Y","Y","01868","N","","","","","","","","N","1"
"2022065589","Y","U","N","U","U","Y","3","Y","N","01450","N","","","","","","","","N","1"
"2022076746","N","N","U","Y","U","Y","1","Y","Y","00600","N","","","","","","","","N","2"
"2022073633","N","N","Y","N","N","N","0","N","N","00600","N","","","","","","","","N","1"
"2022075623","Y","U","Y","U","N","U","9","U","U","01900","Y","U","U","N","U","9","U","U","N","1"
"2022082593","N","Y","U","Y","Y","Y","1","Y","N","00600","N","","","","","","","","N","1"
"2022073075","N","N","Y","Y","N","N","0","N","N","01690","N","","","","","","","","N","2"
"2022038211","Y","Y","Y","Y","N","N","0","Y","N","01700","N","","","","","","","","N","1"
"2022077183","Y","Y","Y","Y","N","N","1","Y","Y","01450","N","","","","","","","","N","1"
"2022086156","","","","","","","","","","","","","","","","","","","","1"
"2022057255","N","N","U","Y","U","U","9","Y","U","01300","N","","","","","","","","N","2"
"2022023331","N","U","Y","Y","U","Y","1","Y","Y","00398","N","","","","","","","","N","1"
"2022033200","N","N","U","Y","Y","Y","2","N","Y","00750","N","","","","","","","","N","1"
"2022069337","N","N","U","Y","Y","Y","1","N","N","00400","N","","","","","","","","N","1"
"2022076870","N","Y","N","Y","Y","N","1","Y","Y","00599","N","","","","","","","","N","1"
"2022061542","","","","","","","","","","","","","","","","","","","","1"
"2022084556","","","","","","","","","","","","","","","","","","","","2"
"2022105449","Y","N","Y","Y","N","N","0","Y","N","01450","N","","","","","","","","N","1"
"2022086436","Y","U","U","Y","U","Y","1","Y","Y","01298","N","","","","","","","","N","2"
"2022085837","Y","Y","Y","Y","U","N","3","Y","Y","00800","N","","","","","","","","N","1"
"2022073479","Y","Y","Y","U","Y","N","3","Y","Y","01923","N","","","","","","","","N","1"
"2022081122","N","Y","Y","Y","N","Y","1","Y","Y","00650","N","","","","","","","","N","2"
"2022047213","N","N","U","U","U","U","9","U","U","00050","N","","","","","","","","N","2"
