"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","TYPE_OF_CARRIER","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2023017842","02","1","77 PITNEY RD","","LANCASTER","PA","17602","KEENER INSULATING SUPPLY INC","7172991341","014250","","","","","N","","","","","","","99","0","00","","","","2","2","00338476","03"
"2023003697","02","8","2850 KIRILA RD","","HERMITAGE","PA","16148","STA OF PENNSYLVANIA","7249831112","030000","","","","","N","","","","","","","02","A-00117073","00","","","","4","1","00818076","12"
"2023003697","02","8","2850 KIRILA RD","","HERMITAGE","PA","16148","STA OF PENNSYLVANIA","7249831112","030000","","","","","N","","","","","","","02","A-00117073","00","","","","4","2","00818076","12"
"2023117826","02","1","2675 MORGANTOWN RD PO B","","READING","PA","19603","PENSKE LEASING AND RENTAL CO","6102667137","025999","","","","","N","","","","","","","01","","00","","","","2","2","00917902","03"
"2023115688","06","1","3901 W BROAD STREET","","RICHMOND","VA","23230","ESTES EXPRESS LINES","8043531900","080000","","","","","N","","","","","","","02","A-00110475","00","","","","1","1","00121018","08"
"2024011609","03","99","2675 MORGANTOWN RD","","READING","PA","19607","PENSKE LOGISTICS","6107756000","033000","","","","","N","","","","","","","99","","00","","","","1","2","00268015","08"
"2023020898","03","99","15 WEST LINWOOD AVENUE","","MAPLE SHADE","NJ","08052","J P FIDLER TRUCKING LLC","6093523332","080000","","","","","","","","","","","","","","00","","","","9","3","01620498","99"
"2023018922","03","98","17TH & ARSENAL BLVD","","HARRISBURG","PA","17120","PENNDOT","5702533130","073200","","","","","N","","","","","","","02","A-00000000","00","","","","3","2","99999999","09"
"2023062036","03","0","901 WOODBINE AVE","","BENSALEM","PA","19020","ANJER INC","2156388700","080000","","","","","N","","","","","","","01","","00","","","","1","2","01005919","07"
"2023093575","05","1","1315 ALDEN TER","","UNION","NJ","07083","AURAS TRANSPORT LLC","9086773511","080000","","","","","N","","","","","","","01","","00","","","","1","2","03938607","08"
"2023043292","","99","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","","","","","","","","","","","","","","","00","","","","9","1","99999999","99"
"2023043292","99","1","11690 NW 105 ST","","MIAMI","FL","33178","RYDER TRUCK RENTAL","4108070419","033000","","","","","N","","","","","","","02","","00","","","","9","2","00302173","09"
"2023066922","02","0","2800 CENTRE AVE","","READING","PA","19605","METROPOLITAN EDISON","8885444877","037000","","","","","N","","","","","","","99","","00","","","","9","1","00000000","00"
"2023054322","99","0","9657 N ROUTE 220 HWY","","JERSEY SHORE","PA","17740","LUCAS TRUCKING CORP","5702206555","073280","","","","","N","","","","","","","","","00","","","","9","2","00045937","08"
"2023106476","05","1","8580 OLD DORSEY RUN ROAD","","JESSUP","MD","20794","GIANT OF MARYLAND LLC","3015436100","080000","","","","","","","","","","","","02","","00","","","","1","2","00110018","06"
"2023021975","05","1","2509 ALLENBROOK DR APT #208","","ALLENTOWN","PA","18103","KENNY & SON TRUCKING INC","7187857319","080000","","","","","N","","","","","","","01","","00","","","","1","2","03448540","08"
"2023007522","02","1","2333 W. 5OTH STREET","","ERIE","PA","16506","CINTAS SERVICE","8144647629","016000","","","","","N","","","","","","","","","00","","","","1","2","14577995","03"
"2023060045","02","0","14731 176TH ST SUITE 1B","","JAMAICA","NY","11434","PWL TRUCKING","7187854222","080000","","","","","N","","","","","","","02","","00","","","","2","1","02085940","08"
"2023064313","05","4","17TH & ARSENAL BLVD","","HARRISBURG","PA","17120","PENNDOT","7174125300","030000","","","","","N","","","","","","","01","","00","","","","1","1","01708087","04"
"2023118174","03","99","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","","99","","00","","","","9","2","","99"
"2023025661","03","4","260 OLD YORK RD","","NEW CUMBERLAND","PA","17070","EK SERVICES INC","7177747913","070000","","","","","N","","","","","","","01","","00","","","","2","2","01123758","04"
"2023013608","05","1","308 W DIVISION ST","","REMINGTON","IN","47977","SUNDOWNER EXPRESS INC","2192083032","080000","","","","","N","","","","","","","99","560235","00","","","","1","2","01487723","08"
"2023098524","05","1","310 N ZARFOSS DR","","YORK","PA","17404","A&S SERVICES GROUP LLC","7177593017","030000","","","","","N","","","","","","","01","","00","","","","1","2","01880751","08"
"2023031895","03","3","4846 STREETS RUN RD","","PITTSBURGH","PA","15236","CHAPON'S GREENHOUSE & SUPPLY","4128811520","","","","","","N","","","","","","","99","","00","","","","9","1","","04"
"2023073913","99","98","347 N JAMES ST","","KANSAS CITY","KS","66118","BUTLER TRANSPORT","9999999999","000099","","","","","N","","","","","","Y","02","A-9999999","02","","","","3","1","00324877","08"
"2023068027","04","4","3912 BRUMBAUGH RD","","NEW ENTERPRISE","PA","16664","NEW ENTERPRISE STONE AND LIME CO","8005433860","028000","","","","","N","","","","","","","99","","00","","","","9","1","00103221","04"
