"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2023044371","Y","Y","Y","Y","N","N","0","Y","N","00800","N","","","","","","","","N","1"
"2023043322","N","Y","N","Y","N","N","0","Y","N","00103","N","","","","","","","","N","1"
"2023055772","N","N","U","Y","U","U","9","Y","Y","01203","N","","","","","","","","N","2"
"2023079641","N","Y","Y","Y","U","Y","1","Y","Y","00750","N","","","","","","","","N","1"
"2023013389","","","","","","","","","","","","","","","","","","","","2"
"2023075437","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2023051974","N","Y","U","N","N","Y","2","Y","N","01100","N","","","","","","","","N","1"
"2023041639","","","","","","","","","","","","","","","","","","","","2"
"2023055081","Y","Y","U","Y","N","N","0","Y","N","01200","Y","N","Y","N","N","0","Y","Y","N","2"
"2023105344","N","U","U","U","U","Y","1","Y","Y","99999","N","","","","","","","","N","1"
"2023071510","N","N","Y","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2023071510","Y","Y","Y","Y","N","Y","1","Y","Y","00600","Y","N","Y","N","Y","1","Y","Y","N","2"
"2024076712","Y","N","Y","Y","U","U","2","Y","Y","01200","N","","","","","","","","N","2"
"2023082730","Y","Y","U","N","N","N","0","Y","Y","00110","N","","","","","","","","N","1"
"2023028662","Y","U","N","Y","Y","N","1","Y","Y","12000","N","","","","","","","","N","1"
"2023081674","U","N","U","N","U","Y","1","Y","Y","00636","N","","","","","","","","N","2"
"2023090036","Y","U","Y","U","N","N","0","Y","Y","01690","N","","","","","","","","N","1"
"2023063377","N","Y","Y","N","N","N","0","Y","N","00883","N","","","","","","","","N","1"
"2023059260","N","U","U","Y","N","N","0","Y","N","01133","N","","","","","","","","N","1"
"2023057935","N","N","N","Y","N","N","0","Y","Y","01000","N","","","","","","","","N","1"
"2023069352","N","N","U","Y","Y","N","1","Y","N","00600","N","","","","","","","","N","2"
"2023061397","","","","","","","","","","","","","","","","","","","","1"
"2023081356","N","N","N","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2023115629","N","U","N","Y","U","Y","3","Y","Y","99999","N","","","","","","","","N","1"
"2023031035","N","U","U","U","U","U","1","Y","Y","00000","N","","","","","","","","N","1"
"2023077866","N","U","N","U","U","U","9","U","U","00150","N","","","","","","","","N","1"
"2023031785","Y","Y","U","U","U","U","1","Y","Y","00471","N","","","","","","","","N","1"
"2023043087","U","U","U","U","U","Y","1","Y","Y","00125","N","","","","","","","","N","1"
"2023059019","Y","Y","U","Y","N","N","0","Y","N","01688","N","","","","","","","","N","1"
"2023027932","N","Y","Y","Y","U","Y","1","Y","Y","01584","N","","","","","","","","N","1"
"2023044850","Y","Y","Y","Y","Y","Y","1","Y","Y","01730","N","","","","","","","","N","2"
"2023092184","N","N","Y","Y","U","Y","1","Y","Y","00500","N","","","","","","","","N","1"
"2023085942","N","Y","Y","Y","Y","Y","1","Y","N","00600","N","","","","","","","","N","1"
"2023087483","N","Y","Y","Y","Y","Y","3","Y","Y","00107","N","","","","","","","","N","1"
"2023067793","","","","","","","","","","","","","","","","","","","","1"
"2023076874","","","","","","","","","","","","","","","","","","","","1"
"2023118660","N","Y","U","Y","U","Y","1","Y","Y","00998","N","","","","","","","","N","1"
"2023072609","N","Y","U","Y","U","Y","1","Y","Y","00250","N","","","","","","","","N","1"
"2023077699","N","Y","U","Y","Y","Y","1","Y","Y","00800","N","","","","","","","","N","2"
"2023077699","N","Y","U","Y","Y","Y","1","Y","Y","01300","N","","","","","","","","N","3"
"2023060487","Y","N","Y","N","Y","Y","3","Y","N","88888","N","","","","","","","","N","1"
"2023087770","","","","","","","","","","","","","","","","","","","","2"
"2023075540","Y","Y","U","Y","Y","Y","1","U","U","01200","N","","","","","","","","N","2"
"2023050898","Y","Y","Y","Y","Y","Y","1","Y","Y","01811","N","","","","","","","","N","2"
"2023077735","","","","","","","","","","","","","","","","","","","","2"
